Date,Description,Amount,Balance,Category
09-Apr-2021,Skip,-330.00,4040.01,maintenance
09-Apr-2021,CROSS BORDER T5898461071361032,-2.19,4037.82,bank
09-Apr-2021,CROSS BORDER T5898461071361032,-0.47,4037.35,bank
09-Apr-2021,CARRIED FORWARD,0.00,4037.35,
09-Apr-2021,BROUGHT FORWARD,0.00,4037.35,
09-Apr-2021,"CR INT RATE CHANGED TO   0,00%",0.00,4037.35,
10-Apr-2021,KAROOPOT ,225.00,4262.35,eatout
10-Apr-2021,PNP FRAN OUDTS,-1182.68,3079.67,grocery
10-Apr-2021,SWANS KWEKERY ,-730.00,2349.67,maintenance
10-Apr-2021,Spar Oudtshoor,-101.18,2248.49,grocery
10-Apr-2021,Notification Fee: SMS,-1.15,2247.34,bank
12-Apr-2021,Prepaid electricity to 0138118,-600.00,1647.34,electricity
12-Apr-2021,Telkom 40 GB Day + 27681874665,-359.00,1288.34,comms
12-Apr-2021,MILLIES STORE ,-97.15,1191.19,eatout
12-Apr-2021,MILLIES STORE ,-92.85,1098.34,eatout
13-Apr-2021,Bruce,100.00,1198.34,income
13-Apr-2021,Yoco*Ruiterbos,-390.00,808.34,eatout
13-Apr-2021,C*ENGEN HARTEN,-300.00,508.34,petrol
13-Apr-2021,C*TOTAL OUDTSH,-96.00,412.34,motor
13-Apr-2021,Yoco*Nuts Abou,-92.00,320.34,eatout
13-Apr-2021,C*ENGEN HARTEN,-38.40,281.94,eatout
13-Apr-2021,Prepaid Electricity,-1.50,280.44,bank
13-Apr-2021,Prepaid Airtime,-1.50,278.94,bank
14-Apr-2021,FRUIT & VEG CI,-127.97,150.97,grocery
14-Apr-2021,C*KFC OUDSTHOO,-112.80,38.17,eatout
14-Apr-2021,CARRIED FORWARD,0.00,38.17,
14-Apr-2021,BROUGHT FORWARD,0.00,38.17,
15-Apr-2021,Ang and Steve,20000.00,20038.17,income
15-Apr-2021,ATM CASH ,-1500.00,18538.17,cash
15-Apr-2021,ATM/SSD WITHDRAWAL FEE,-33.00,18505.17,bank
15-Apr-2021,CAMP ROADHOUSE,-19.00,18486.17,eatout
15-Apr-2021,"CR INT RATE CHANGED TO   0,20%",0.00,18486.17,
16-Apr-2021,PNP FRAN OUDTS,-914.29,17571.88,grocery
16-Apr-2021,FRUIT AND VEG ,-269.39,17302.49,grocery
16-Apr-2021,STEERS OUDTSHO,-217.50,17084.99,eatout
17-Apr-2021,Checkers Oudts,-262.41,16822.58,grocery
19-Apr-2021,PNP FRAN OUDTS,-422.88,16399.70,grocery
19-Apr-2021,DIE SMITSWINKE,-194.00,16205.70,eatout
19-Apr-2021,BIG FISH TAKE ,-118.00,16087.70,eatout
19-Apr-2021,MILLIES STORE ,-92.95,15994.75,eatout
20-Apr-2021,Telkom 60 GB Day + 27681874665,-459.00,15535.75,comms
20-Apr-2021,PURCH/CASH-R 300.00-Spar Oudts,-346.97,15188.78,cash
20-Apr-2021,ATM CASH ,-250.00,14938.78,cash
20-Apr-2021,ATM/SSD WITHDRAWAL FEE,-6.60,14932.18,bank
20-Apr-2021,PNP FRAN OUDTS,-861.73,12174.45,grocery
20-Apr-2021,KANGO OUDTSHOO,-311.50,11862.95,grocery
20-Apr-2021,CARRIED FORWARD,0.00,11862.95,
20-Apr-2021,PROVISIONAL STATEMENT,0.00,0.00,
20-Apr-2021,BROUGHT FORWARD,0.00,11862.95,
20-Apr-2021,TAKEALOT ONLIN,-309.00,11553.95,kids
20-Apr-2021,Yoco*Super Car,-160.00,11393.95,motor
20-Apr-2021,MILLIES STORE,-119.40,11274.55,eatout
20-Apr-2021,Yoco*Nuts Abou,-87.00,11187.55,eatout
20-Apr-2021,CARRIED FORWARD,0.00,11187.55,
